id,food_name,aliases,category,energy_kcal,protein_g,fat_g,carb_g
G0400101,雞腿菇,"雞腿(蘑)菇,雞髀菇,墨水菇,一夜菇(毛頭鬼傘)",菇類,36,2.1,0.1,7.5
G0410101,雞腿菇(乾),"雞腿(蘑)菇,雞髀菇,墨水菇,一夜菇(毛頭鬼傘)",菇類,298,20.1,1.4,59.8
G0500101,松茸,"台灣松茸,松口蘑,大花菌,松蕈,剝皮菌(台灣松口蘑)",菇類,36,3.1,0.5,5.9
G0600101,雪白菇(長),"美白菇,白精靈菇",菇類,36,2.1,0.4,6.9
G0700101,柳松菇,"柳松茸,茶樹菇,楊樹菇,田頭菇(柱狀田頭菇)",菇類,36,3.7,0.3,6
G0710101,乾柳松菇,"柳松茸,茶樹菇,楊樹菇,田頭菇(柱狀田頭菇)",菇類,286,23.5,1.9,53.5
G08001,香菇平均值,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,39,3,0.1,7.6
G0800101,香菇(大),"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,37,3,0.2,7.1
G0800102,香菇(小),"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,26,2.4,0.1,4.9
G0800103,花菇,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,52,3.6,0.1,10.7
G08101,乾香菇平均值,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,321,20.9,1.6,64.9
G0810101,乾香菇,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,333,23.3,1.4,66.6
G0810102,乾花菇,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,317,17,1.1,67.4
G0810103,乾白花菇,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,310,18.7,1.1,64.5
G0810104,乾鈕釦菇,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",菇類,325,24.6,2.7,60.9
G1000101,姬松茸,"姬松菇,巴西蘑菇,柏氏蘑菇,小松菇",菇類,40,4,0.4,6.9
G1010101,乾姬松茸,"姬松菇,巴西蘑菇,柏氏蘑菇,小松菇",菇類,294,34,2.7,46.7
G1100101,酒杯菇,"大杯傘,大杯菇,葉松茸,豬肚菇",菇類,50,4.6,0.3,9
G1200101,秀珍菇,"平菇,小平菇,側耳平菇,蠔菇,袖珍(鮑魚)菇(側耳)",菇類,28,3.3,0.1,4.6
G1200201,天喜菇,,菇類,26,4.5,0.5,2.5
G1200301,白蠔菇,,菇類,33,2.2,0.3,6.4
G1200401,玫瑰菇,"紅側耳,桃紅平菇,紅平菇,粉紅菇",菇類,35,4.5,0.1,5.6
G1300101,杏香菇,"香微蘑,雪茸,帝王菇,平菇王",菇類,26,2.7,0.1,4.6
G13002,杏鮑菇平均值,"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",菇類,41,2.7,0.2,8.3
G1300201,杏鮑菇(大),"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",菇類,37,2.4,0.1,7.5
G1300202,杏鮑菇(中),"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",菇類,40,2.5,0.2,8.2
G1300203,杏鮑菇(小),"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",菇類,47,3.2,0.3,9.2
G1400301,珊瑚菇,"金頂鮑魚菇,金頂蘑,榆黃蘑,榆(黃)蘑,黃金菇,玉皇(米)菇,粗口黃,楊柳菌,黃樹窩(金頂側耳)",菇類,33,4,0.2,5.2
G1500101,蠔菇,"平菇,日本蠔菇,糙皮側耳,黑牡丹菇,黑美人菇,人工口蘑(囊狀側耳)",菇類,26,2.1,0.3,4.8
G1500201,鮑魚菇,"夏季鮑魚菇,高溫平菇,台灣平菇,黑美人菇,人工口蘑(囊狀側耳)",菇類,22,1.7,0.2,4
G1600101,金針菇,"金(冬/榎/朴)菇,金絲菇,金菇菜,秋葷,樸蕈構菌,毛柄金線菇,菌子(絨柄金錢菇)",菇類,37,2.6,0.3,7.2
G1600201,華翠菇,"滿天星菇,黃色金針菇(絨柄金錢菇)",菇類,29,2.5,0.2,5.1
G1700101,滑菇,"珍珠菇,滑子,滑子蘑,光蓋鱗傘,光帽黃傘(滑鱗傘)",菇類,27,2.6,0.2,4.7
G1800101,舞菇,"舞茸,灰樹花,葉多孔菌,栗子蘑,千佛菌,蓮花菌",菇類,28,1.4,0.1,5.8
G1900101,鴻喜菇,"紅喜菇,真姬菇,斑玉蕈,玉蕈,膠玉蘑,蟹味菇,海鮮菇,假松茸,松茸菇,榆菇,靈芝菇,黑真珠",菇類,30,2.9,0.1,5.3
G1900201,雪白菇,"美白菇,白玉菇",菇類,31,2.2,0,6.4
G2000101,洋菇,"西洋蘑菇(蘑菇,雙孢蘑菇)",菇類,25,3,0.2,3.8
G2000201,冷凍洋菇,"西洋蘑菇(蘑菇,雙孢蘑菇)",菇類,39,3.8,1.5,4.3
G2100101,白茯苓,"松(雲/安/閩)苓,玉(茯)靈,茯兔(龜),松柏芋,松薯,不死麵,萬靈桂(精),更生,金翁",菇類,316,1,0.2,79.9
G2300101,猴頭菇,"猴頭蘑,刺蝟菌,蝟菌,花菜菇,圓頭菇,陰陽蘑,對臉蘑",菇類,30,2.1,0.2,5.9
G2310101,乾猴頭菇,"猴頭蘑,刺蝟菌,蝟菌,花菜菇,圓頭菇,陰陽蘑,對臉蘑",菇類,311,12.3,3.4,64.3
G2410101,乾竹笙,"竹蓀,竹參(長裙竹蓀)",菇類,312,17.5,2,64.1
G9000101,松茸白菇,,菇類,38,5.1,0.5,5.3
G9000201,金喜菇,,菇類,39,2.7,0.2,7.7
G9000301,喜來菇,,菇類,37,3.5,0.4,6.3
G9000401,富珍茸,,菇類,37,3,0.4,6.8
H01051,白鳳豆平均值,"矮性刀豆,洋刀豆,立刀豆",豆類,337,23.8,2.1,58.2
H0105101,白鳳豆(台灣),"矮性刀豆,洋刀豆,立刀豆",豆類,348,27.4,2.8,56.4
H0105102,白鳳豆(進口),"矮性刀豆,洋刀豆,立刀豆",豆類,325,20.1,1.3,60
H0205101,米豆,"飯豆,蛋白豆,赤山豆,繖形豇豆,島田豇豆",豆類,349,21.7,2.4,62.2
H0305101,花豆,"紅花豆,紅(赤)花菜豆,花仔(阿/柳)豆",豆類,328,21.2,1.7,59
H0405101,紅豆,"小豆,赤小豆,赤豆,通常小豆,小紅豆,紅小豆",豆類,328,20.9,0.6,61.5
H0505101,紅雲豆(大紅豆),"紅菜豆,大紅豆",豆類,328,20.2,1.4,60.4
H0605101,青仁黑豆,"烏豆,枝仔豆,黑大豆",豆類,385,37,14.2,33.7
H0605201,黃仁黑豆,"烏豆,枝仔豆,黑大豆",豆類,253,20.6,2.1,40.3
H0610101,黑豆胚芽,,豆類,185,16.1,7.7,15.9
H0610201,烘烤黑豆,"烏豆,枝仔豆,黑大豆",豆類,435,39,20.1,32.4
H0620101,黑豆粉,"烏豆,枝仔豆,黑大豆",豆類,431,36,17.6,39
H0705101,毛綠豆,"菉豆,綠小豆,輻莢豆",豆類,346,22.1,1.2,63.6
H0705102,綠豆,"菉豆,綠小豆,輻莢豆",豆類,344,22.8,1.1,63
H0710101,綠豆仁,"菉豆,綠小豆,輻莢豆",豆類,339,24.6,1.3,59.6
H0720101,綠豆粉,"菉豆,綠小豆,輻莢豆",豆類,344,21.7,1.5,62.9
H0800101,豇豆(莢),"長豇豆,長莢豇豆,豆角,菜(筷/江/長/角)豆",豆類,35,2.4,0.1,6.2
H0900101,萊豆仁(帶膜),"皇帝豆,皇格豆,白扁豆,觀音豆,雪豆,大馬萊豆,細綿豆",豆類,112,7.8,0.4,20.1
H0900201,萊豆仁(去膜),"皇帝豆,皇格豆,白扁豆,觀音豆,雪豆,大馬萊豆,細綿豆",豆類,137,7.4,1.4,24.7
H1000101,粉豆莢,"菜豆莢,四季豆,雲藕豆,隱之(元)豆,白(花)雲豆,敏(雲/芸/粉/醜)豆",豆類,27,1.7,0.1,5
H1000201,敏豆莢,"菜豆莢,四季豆,雲藕豆,隱之(元)豆,白(花)雲豆,敏(雲/芸/粉/醜)豆",豆類,30,1.7,0.2,5.3
H1000301,冷凍菜豆(莢),"四季豆,雲藕豆,隱之(元)豆,白(花)雲豆,敏(雲/芸/粉/醜)豆",豆類,57,3.4,0.1,10.8
H1100101,毛豆仁,"大豆,青大豆,青皮豆",豆類,129,14.6,3.3,12.5
H1100201,毛豆莢(高雄13號),"大豆,青大豆,青皮豆",豆類,137,11.6,5.1,13.2
H1100301,冷凍毛豆仁,"大豆,青大豆,青皮豆",豆類,135,12.5,6.1,9.8
H1105101,黃豆,"大豆,菽",豆類,389,35.6,15.7,33
H1110101,黃豆胚芽,大豆胚芽,豆類,169,16.6,5.4,16.4
H1120101,黃豆粉,大豆,豆類,401,37.4,16.7,32.2
H1120102,黃豆粉(有機),大豆粉(有機),豆類,434,42,21.9,25.9
H1150201,豆漿(無糖),,豆類,35,3.6,1.9,0.7
H1200101,豌豆仁,"荷蓮豆仁,荷仁豆仁,荷蘭豆仁,花蓮豆仁,飛龍豆仁,青豆仁,胡豆仁,畢豆仁,宛豆仁,孫豆仁,丸豆仁,留",豆類,123,9.2,0.4,21.7
H1200201,豌豆莢,"荷蓮豆,荷仁豆,荷蘭豆,花蓮豆,飛龍豆,青豆莢,胡豆莢,畢豆莢,宛豆莢,孫豆莢,丸豆莢,留豆莢,戎菽",豆類,41,2.9,0.2,7.1
H1200301,高山大豌豆莢,"荷蓮豆,荷仁豆,荷蘭豆,花蓮豆,飛龍豆,青豆莢,胡豆莢,畢豆莢,宛豆莢,孫豆莢,丸豆莢,留豆莢,戎菽",豆類,49,2.4,0,9.9
H1200401,甜豌豆莢,"甜脆豌豆,甜荷蘭豆,甜荷仁豆",豆類,42,3,0.2,7.4
H1200501,冷凍豌豆仁,"荷蓮豆仁,荷仁豆仁,荷蘭豆仁,花蓮豆仁,飛龍豆仁,青豆仁,胡豆仁,畢豆仁,宛豆仁,孫豆仁,丸豆仁,留",豆類,96,6.1,0.6,17.1
H1300101,鵲豆莢,"肉(扁/藊)豆,峨(蛾/花)眉豆,沿(延)籬豆,隱元豆,膨皮豆",豆類,31,2.4,0.3,5.1
H1505101,紅扁豆仁,,豆類,343,25.3,2.1,58.3
H1600101,鷹嘴豆,"雪蓮子,埃及豆,馬豆,桃爾豆,雞心豆,雞豆,雞屁股豆",豆類,364,19.4,5.8,61
H1700101,樹豆(白),"木豆,白樹豆,柳豆,米豆,放屁豆,番仔豆,蒲姜豆",豆類,325,22.1,0.8,59.4
H1800101,翼豆,四角豆、翅豆、羊角豆、 楊桃豆、四稜豆,豆類,31,2.5,0.4,4.7
H2000101,天貝(黃豆),,豆類,187,23.6,9,7.4
I01001,牛小排平均值,"肥牛肉,小肋排,牛仔骨",肉類,325,15.1,28.9,0
I0100101,去骨牛小排,"肥牛肉,小肋排",肉類,290,17.1,24,0
I0100102,帶骨牛小排,牛仔骨,肉類,360,13.1,33.7,0.4
I0100103,無骨牛小排(美牛),,肉類,335,15.6,29.8,0.2
I0100201,牛肋條,"腩條,條肉",肉類,225,18.6,16.2,1.1
I0100202,牛肋條(2021年取樣),,肉類,358,15.7,32.3,0.3
I0100301,沙朗牛排,"里肌,大里肌,肋眼,修清肋眼肉;修清肉眼",肉類,162,20.4,8.3,1.5
I0102101,板腱,板腱牛排;白蘭地牛排;上肩胛脊底肌,肉類,166,19.8,9,0.2
I0102201,牛去骨肩胛小排,肥牛肉,肉類,233,16.9,17.9,1.2
I0104101,牛前胸肉,"去骨前胸肉,牛腩",肉類,331,14.8,29.7,0
I0104201,牛修清前胸肉,"修清牛腩,修清前胸腋肌",肉類,120,22.3,2.8,0.9
I0106101,去骨紐約克牛排,"外條,西冷,去骨前腰脊肉",肉類,200,21.3,12,0
I0106201,腓力牛排,"菲力牛排,牛柳,小里肌,腰內肉,去脂腰里肌肉,全修清去膜腰裡脊肉",肉類,184,20.6,10.7,0.1
I0108101,牛後腿肉,,肉類,122,19.4,4.3,3.7
I0108201,牛後腿股肉,"和尚頭,牛霖",肉類,153,20.6,7.2,0.8
I0108301,牛後腿腱子心,"牛腱,腱子",肉類,139,19.8,6,0
I0108302,牛後腿腱子心(2022年取樣),"牛腱,腱子",肉類,151,23.7,5.5,4
I01101,牛肉火鍋片平均值,,肉類,250,19.1,18.7,0
I0110101,牛五花肉火鍋片,,肉類,430,15.7,40.3,0
I0110102,牛紐約客火鍋片,,肉類,263,20.1,19.6,0
I0110103,牛梅花肉火鍋片,,肉類,120,20.3,3.7,0.9
I0110104,牛嫩肩里肌火鍋片,,肉類,188,20,11.4,1.8
I01201,牛肚平均值,"百葉胃,毛肚,牛百葉,牛百頁,牛草肚(牛之第一胃);蜂巢肚,金錢肚(牛之第二胃)",肉類,56,11.4,0.8,0.1
I0120101,牛肚(瘤胃),"百葉胃,毛肚,牛百葉,牛百頁,牛草肚(牛之第一胃,山鏈狀)",肉類,44,7.5,1.4,0
I0120102,牛肚切片(瘤胃),"百葉胃,毛肚,牛百葉,牛百頁,牛草肚(牛之第一胃)",肉類,67,15.3,0.2,0.3
I0120201,牛肚(蜂巢胃),"蜂巢肚,金錢肚(牛之第二胃)",肉類,107,19,2.8,0
I0120301,牛筋,蹄筋,肉類,157,21.7,7.2,3.3
I0200101,山羊帶皮羊肉塊,,肉類,164,20.3,8.6,3.4
I0200201,山羊前腿肉片,,肉類,123,21.3,3.5,0
I0200301,山羊後腿肉火鍋片,,肉類,170,18.9,9.9,0.1
I0210101,綿羊肉切片,,肉類,198,18.8,13,0
I0210201,法式羊排,"羊肋排,羊小排",肉類,260,18.8,20,0
I0210301,去骨肩頸眼羊肉,,肉類,198,17.8,13.5,0
I0210401,小羊腰脊肉,去骨腰脊肉,肉類,143,26.5,3.3,0
I0210501,綿羊腹脅肉火鍋片,五花肉火鍋片,肉類,252,16.9,20,2.5
I0300101,豬下肩肉,前腿肉,肉類,200,18.1,13.6,0
I0300201,豬下肩瘦肉,前腿瘦肉,肉類,131,20.1,5,0
I0300301,豬上肩肉,梅花肉,肉類,207,18.9,14,0
I0300401,豬肩胛肉,胛心肉,肉類,295,16.5,24.8,0
I0300501,豬肩胛排,中排,肉類,191,17.9,12.7,0
I0300502,豬肩胛排(2021年取樣),,肉類,244,17.8,18.7,0
I0300601,豬前腿外腱肉,"豬腱,腱子肉",肉類,146,20.7,6.5,0
I0302101,豬後腿外腱肉,"豬腱,外腱",肉類,184,19,11.4,0.8
I0302201,豬後腿肉,,肉類,123,20.4,4,0.4
I0302301,豬後腿瘦肉,,肉類,120,21.1,3.4,0.3
I0304101,豬大里肌,"背脊肉,里肌肉",肉類,212,19.2,14.4,0
I0304201,豬大排,"背脊,帶骨里肌",肉類,214,19.1,14.7,0
I0304301,豬小排,"里肌小排,肋小排,肋骨排",肉類,287,18,23.3,0
I0304401,僧帽肌,離緣肉,肉類,209,20.4,13.5,0
I0306101,豬小里肌,腰內肉,肉類,139,21.1,5.4,0
I0308101,豬去皮腹脇肉,"去皮五花肉,去皮三層肉",肉類,360,14.9,32.9,0.5
I0308201,豬帶皮腹脇肉,"帶皮五花肉,帶皮三層肉",肉類,368,14.5,33.9,0
I0308301,豬腹脇排,"腩排,肉排,小排",肉類,267,18.7,20.7,0
I0310101,豬肝連,"肝連,隔胸肉,條仔肉(橫隔肌)",肉類,220,14.6,17.5,0
I0310201,豬頰肉,"豬舌肉,菊花肉",肉類,182,17.5,11.9,1.4
I0310202,豬頰肉(2022年取樣),"豬舌肉,菊花肉",肉類,157,18.9,8.4,2.1
I0310301,豬頸肉,松阪豬肉,肉類,284,17.2,23.3,0.8
I03104,豬絞肉平均值,,肉類,212,18.7,14.6,0
I0310401,豬絞肉(70％瘦肉率),,肉類,218,19,15.2,0
I0310402,豬絞肉(90％瘦肉率),,肉類,205,18.5,14,0
I0320101,豬心,,肉類,128,13.6,7.8,1
I0320201,豬白管,"豬管庭(廷),皇管(豬之胸大動脈)",肉類,93,14.1,3.6,0
I0320301,豬皮,,肉類,491,22.1,44,0
I0320401,豬耳,,肉類,219,24.2,12.8,0.9
I0320501,豬舌,,肉類,185,18.5,11.8,0
I0320601,豬血,,肉類,29,6.3,0.3,0.5
I0320701,豬尾,,肉類,295,16.2,25,7.1
I0320801,豬肝,,肉類,137,20.8,5.3,1.7
I0321101,豬肚,豬胃,肉類,152,12.4,11,0
I0321201,熟豬肚,豬胃,肉類,137,16,7.6,2.7
I0321301,豬油渣,,肉類,837,17.4,84.5,0
I03214,豬骨湯平均值,高湯,肉類,8,0.9,0.4,0
I0321401,豬大骨湯,高湯,肉類,7,1,0.3,0.4
I0321402,豬肋骨湯,"高湯,小骨湯,籤仔骨湯,冰仔骨湯,支骨湯",肉類,9,0.7,0.6,0
I0321403,豬肩骨湯,高湯,肉類,8,1.1,0.4,0.2
I0321501,豬軟骨,,肉類,332,15.6,29.4,0
I0321601,豬腎,腰子,肉類,82,15,1.9,1.7
I0321701,豬脾臟,腰尺,肉類,79,15,1.6,2
I0321801,豬大腸,,肉類,198,6.6,18.9,1.9
I0321901,豬小腸,,肉類,156,12.5,11.4,0.6
I0322001,豬空腸,粉腸,肉類,186,10.9,15.4,8.6
I0322101,豬前腳,"豬腳,豬蹄,短腳",肉類,252,21.9,17.6,0
I0322201,豬後腳,"豬腳,豬蹄,長腳",肉類,253,19.5,18.8,0
I0322301,豬蹄膀,"豬腳,蹄膀,圓蹄",肉類,331,17.1,28.6,0
I0322501,豬腳筋,"蹄筋,長筋",肉類,72,14.4,1.1,0
I0322601,豬腦,,肉類,125,10.8,8.7,0
I0400101,土雞,"放山雞,走地雞",肉類,196,19,12.7,0
I0400201,肉雞,飼料雞,肉類,248,16.1,19.9,0
I0400301,烏骨雞,"竹絲雞,絲羽烏骨雞,武山雞,烏雞",肉類,212,17.9,15.1,0.9
I04021,里肌肉平均值,,肉類,109,24.2,0.6,0
I0402101,里肌肉(土雞),,肉類,112,24.8,0.6,0
I0402102,里肌肉(肉雞),,肉類,106,23.7,0.6,0
